 ,courtship_duration(min),mate_duration(min),CI,court start time(min),mate start time(min),mate end time(min)
1,67.5949,0,0,0.101908,0,0
2,81.1458,0,0,0.129751,0,0
3,90.332,0,0,0.129751,0,0
4,87.7052,0,0,0.00835309,0,0
5,19.7233,14.6524,0.674269,0.0200474,29.2715,43.9239
6,83.0264,0,0,0.129751,0,0
7,96.7026,0,0,0.10692,0,0
8,27.3486,5.61996,0.623814,0.129751,43.9707,49.5906
9,62.7345,0,0,0.0668247,0,0
10,99.7231,0,0,0.0233887,0,0
11,103.76,0,0,0.00835309,0,0
12,94.1716,0,0,0.0801897,0,0
13,99.6757,0,0,0.0172631,0,0
14,106.956,0,0,0.0233887,0,0
15,89.9973,0,0,0.129751,0,0
16,101.01,0,0,0.0400948,0,0
17,31.6009,6.51095,0.647767,0.113602,48.8979,55.4088
18,115.377,0,0,0.0167062,0,0
19,108.616,0,0,0.0651541,0,0
20,76.012,0,0,0.129751,0,0
21,61.1502,0,0,0.129751,0,0
22,8.54298,7.40863,0.913916,0.0100237,9.35769,16.7663
23,102.156,0,0,0.0334124,0,0
24,95.9174,0,0,0.0200474,0,0
25,98.3008,0,0,0.0155924,0,0
26,6.56831,12.8994,0.624801,0.110261,10.6229,23.5223
27,94.5726,0,0,0.0556873,0,0
28,4.00893,13.1021,0.743391,0.100237,5.49299,18.5951
29,93.1108,0,0,0.0601422,0,0
30,89.8002,0,0,0.129751,0,0
31,104.216,0,0,0.0183768,0,0
32,6.28821,12.3759,0.736355,0.129751,8.66939,21.0453
33,93.891,0,0,0.0618129,0,0
34,10.2041,4.99626,0.927281,0.0239455,11.0283,16.0246
35,101.549,0,0,0.021718,0,0
36,92.5366,0,0,0.129751,0,0
